iter,time,reward,steps,convergence,policy,,reward,convergence,,reward,convergence,,reward,convergence
1,6.817,-943,1045,79.734,FALSE,,-1228,79.74,,-26,79.75333333,,-313,79.77333333
2,2.7833,84,18,62.946972,FALSE,,74,57.2292,,87,44.51968889,,88,25.44675556
3,4.7025,87,15,56.2095874,FALSE,,91,40.55465523,,81,17.4177208,,65,3.150033534
4,5.8908,88,14,44.66718808,FALSE,,92,29.25869816,,88,9.740198432,,88,0.895446297
5,5.841,91,11,36.6087404,TRUE,,89,19.19127346,,91,4.590677014,,91,0.251826592
6,4.9246,90,12,25.6878616,TRUE,,89,12.13021559,,93,1.865646321,,89,0.049241484
7,6.3879,88,14,19.66261746,TRUE,,92,8.528871799,,88,0.971636859,,92,0.008481617
8,6.3439,90,12,12.02412737,TRUE,,91,4.56891245,,92,0.371334451,,86,0.001612187
9,6.8011,88,14,6.449549672,TRUE,,90,2.13916205,,91,0.122881478,,90,0.000260229
10,6.8719,92,10,3.205899879,TRUE,,93,0.926051918,,91,0.037369959,,93,3.81E-05
11,8.7822,92,10,1.517657625,TRUE,,88,0.381161444,,90,0.010755718,,92,5.22E-06
12,8.7465,89,13,0.695113275,TRUE,,91,0.15159899,,90,0.002980657,,85,6.83E-07
13,14.9876,93,9,0.311078169,TRUE,,91,0.058857962,,90,0.000804078,,87,8.63E-08
14,19.9599,91,11,0.136901241,TRUE,,92,0.022455798,,92,0.0002127,,87,1.06E-08
15,12.2033,92,10,0.059505377,TRUE,,89,0.008457231,,93,5.55E-05,,93,1.28E-09
16,14.6562,92,10,0.025622918,TRUE,,90,0.003154073,,84,1.43E-05,,92,1.53E-10
17,14.0035,93,9,0.010953699,TRUE,,89,0.00116744,,91,3.65E-06,,88,1.80E-11
18,12.1007,93,9,0.004656248,TRUE,,90,0.000429565,,93,9.28E-07,,88,2.10E-12
19,15.1562,85,17,0.001970441,TRUE,,91,0.00015732,,90,2.34E-07,,92,2.43E-13
20,15.1302,90,12,0.000830862,TRUE,,91,5.74E-05,,92,5.90E-08,,92,2.82E-14
21,12.6389,91,11,0.000349326,TRUE,,92,2.09E-05,,79,1.48E-08,,88,3.11E-15
22,11.5933,92,10,0.000146521,TRUE,,92,7.58E-06,,82,3.69E-09,,86,2.22E-16
