iter,reward,steps,convergence,policy,reward,convergence,,reward,convergence
1,31,71,9.099,,-21572,9.99,,41,12.2121216
2,-48280,48382,8.19701,,-35,9.881,,63,11.62876304
3,-496,598,7.294075837,,-49999,9.6829,,80,19.53876304
4,-23,125,6.390171015,,-151,9.40461,,55,26.17552224
5,-6808,6910,5.489171015,,19,9.054149,,93,28.15585966
6,-151,253,4.58331903,,54,8.58027559,,93,27.94235548
7,-447,549,3.675649853,,-50,8.006438128,,93,27.82066831
8,-55,157,2.768890908,,38,7.591023228,,-97,30.38322831
9,-141,243,1.859475411,,76,7.146582223,,91,31.21675312
10,10,92,0.948257282,,-482,6.457254713,,92,30.57300912
11,-256,358,0.94064284,,58,5.917257498,,75,28.41562953
12,-131,233,0.94164096,,83,5.431260005,,85,30.28253832
13,-41,143,0.934214707,,70,4.993862262,,91,21.44091452
14,-13,115,0.926168533,,-135,4.475984482,,65,19.29415532
15,4,98,0.914183645,,82,4.259297386,,12,24.08081506
16,-187,289,0.905554749,,-117,3.963294329,,61,24.32470193
17,90,12,0.899696186,,91,3.964324502,,83,26.88349194
18,-510,612,0.890272419,,80,4.15085726,,12,28.46957906
19,-102,204,0.885295453,,79,3.876690716,,73,27.15288285
20,-53,155,0.881522379,,85,3.793946111,,85,29.01215427
21,-105,207,0.871464651,,35,3.549078422,,59,33.16011614
22,-1137,1239,0.852971085,,90,3.447612721,,93,31.75487481
23,-8402,8504,0.845974621,,90,3.979515635,,85,38.91392674
24,-8885,8987,0.839742305,,74,4.715137295,,51,36.57913372
25,40,62,0.833725715,,83,5.166001572,,-271,33.75293605
26,59,43,0.827801538,,90,5.159229851,,69,34.60303265
27,-151,253,0.818891054,,92,5.008542311,,6,36.13586615
28,-38,140,0.813872758,,92,4.368231316,,92,38.68428687
29,-103,205,0.803523335,,91,4.428242548,,41,38.58654654
30,70,32,0.792275014,,91,4.357428608,,56,38.44550674
31,-3,105,0.788958186,,93,4.332288263,,80,36.05370135
32,80,22,0.785674526,,89,4.852356996,,91,37.37012428
33,-19,121,0.774601123,,92,4.714352476,,83,35.62971791
