iter,time,reward,steps,convergence,,,
1,2.1776,-3864,3966,9.99,9.99,9.99,9.99
2,0.4102,-21349,21451,9.98,9.881,9.881,9.881
3,0.5438,-840,942,9.97,9.750547607,9.6829,9.873506253
4,0.8592,-109,211,9.796697293,9.416014267,9.40461,9.865106253
5,1.1666,-149,251,9.687697293,8.955042262,9.054149,9.586816253
6,0.2076,-1783,1885,9.272282393,8.440167457,8.58027559,9.171401353
7,0.4461,9,93,9.074182393,8.431767457,8.006438128,8.820940353
8,0.1694,37,65,8.723721393,8.324207457,7.591023228,8.431450347
9,0.312,-3207,3309,8.179214178,8.146230941,7.146582223,7.904964278
10,0.3084,-82,184,7.625561075,7.886052076,6.457254713,7.865808343
11,0.3287,18,84,6.997102061,7.500326368,5.917257498,7.337401128
12,0.1795,-140,242,6.521354371,7.191665046,5.431260005,6.861834635
13,0.2031,48,54,5.965645451,6.861447046,4.993862262,6.205829523
14,0.3902,42,60,5.411332777,6.729679855,4.475984482,5.51708055
15,0.2787,79,23,4.983159856,6.70316161,4.259297386,5.591944452
16,0.3531,56,46,4.619206297,6.679295191,3.963294329,5.453819797
17,0.3511,65,37,4.415262884,6.102828088,3.964324502,5.127542123
18,0.1378,-147,249,3.971813854,5.584007696,4.15085726,4.807967322
19,0.168,66,36,3.868416398,4.984857275,3.876690716,4.596295064
20,0.206,31,71,3.841938024,4.69542425,3.793946111,4.003592412
21,0.2415,86,16,3.647329913,4.519570828,3.549078422,3.9730829
22,0.3514,7,95,3.840173598,4.189189639,3.447612721,4.353839568
23,0.2894,43,59,3.667500679,3.960786604,3.979515635,4.281003526
24,0.4414,69,33,3.863842253,3.706921051,4.715137295,4.755688459
25,0.2449,30,72,3.690706598,3.446261824,5.166001572,4.235569883
26,0.3012,88,14,3.692746608,3.237342496,5.159229851,4.037919231
27,0.1485,52,50,3.363776724,3.049315101,5.008542311,4.38078073
28,0.129,31,71,3.33805071,2.879694417,4.368231316,4.354782128
29,0.1431,67,35,3.132050185,2.840420386,4.428242548,4.808094361
30,0.1239,77,25,3.243290469,2.611013235,4.357428608,4.738032247
31,0.0986,93,9,3.230311493,3.000834233,4.332288263,4.575220342
32,0.1044,83,19,2.672738423,3.002990459,4.852356996,4.020474399
33,0.0766,77,25,2.532233832,2.825907581,4.714352476,3.974109109
34,0.1215,91,11,2.161609631,2.784554123,4.019866738,3.372585995
35,0.1048,87,15,1.951380821,2.694133646,3.332497716,3.611083733
36,0.0919,89,13,2.068346787,2.58708124,3.28367246,3.674200336
37,0.0921,66,36,2.334538488,2.477658242,3.164241192,3.288811269
38,0.1172,89,13,2.4047465,2.368982146,3.174800841,3.251269021
39,0.1052,92,10,2.446377056,2.483443321,3.017356011,2.78442717
40,0.0968,88,14,1.999892157,2.382683284,3.009248738,2.715454732
41,0.1831,92,10,1.944026075,1.661820362,2.94994939,2.648316128
42,0.1489,91,11,1.971619115,2.213748034,2.406090356,2.643952342
43,0.0885,89,13,1.993969478,2.239385425,2.204897536,2.623251051
44,0.1143,87,15,2.663027565,2.200066855,2.076332656,2.929619117
45,0.1363,90,12,2.797623673,2.114373151,2.428151786,2.626024677
46,0.1052,87,15,3.237547997,2.08534782,2.347911872,2.490018431
47,0.1262,83,19,2.966272835,2.076723718,2.469722067,2.36336511
48,0.0859,85,17,2.845623612,2.079553452,2.62199134,2.27464316
49,0.0855,91,11,2.850283714,2.045300665,3.132435023,2.151136258
