iter,time,reward,steps,convergence,policy,Value,,,,,Policy,,,
1,1.5896,-21572,21674,9.99,,8.2329,-128,230,62.946972,,2.8374,-1228,1330,79.74
2,0.9892,-35,137,9.881,,30.4603,92,10,38.47597553,,5.0407,74,28,57.2292
3,0.7861,-49999,50000,9.6829,,12.778,93,9,30.18587756,,6.9327,91,11,40.55465523
4,1.2293,-151,253,9.40461,,6.6318,92,10,28.30158184,,8.8605,92,10,29.25869816
5,1.3676,19,83,9.054149,,11.5021,87,15,19.7298751,,8.3275,89,13,19.19127346
6,0.4144,54,48,8.58027559,,11.8885,88,14,15.29478317,,8.6807,89,13,12.13021559
7,0.2497,-50,152,8.006438128,,10.2364,91,11,10.79629479,,15.949,92,10,8.528871799
8,1.6397,38,64,7.591023228,,11.0504,89,13,6.016154417,,10.7493,91,11,4.56891245
9,0.3585,76,26,7.146582223,,11.1081,93,9,3.036149868,,11.8896,90,12,2.13916205
10,0.1611,-482,584,6.457254713,,10.4268,92,10,1.448241506,,13.1706,93,9,0.926051918
11,0.5187,58,44,5.917257498,,15.167,92,10,0.666253327,,14.3433,88,14,0.381161444
12,0.4639,83,19,5.431260005,,22.4117,92,10,0.299009795,,15.4415,91,11,0.15159899
13,0.0982,70,32,4.993862262,,22.319,89,13,0.131846364,,16.4996,91,11,0.058857962
14,0.2209,-135,237,4.475984482,,25.567,93,9,0.057387924,,17.2489,92,10,0.022455798
15,0.5149,82,20,4.259297386,,16.1652,93,9,0.024736296,,20.2599,89,13,0.008457231
16,0.1597,-117,219,3.963294329,,17.8228,89,13,0.010582649,,20.2538,90,12,0.003154073
17,0.2445,91,11,3.964324502,,16.4829,92,10,0.004501043,,20.8359,89,13,0.00116744
18,4.9663,80,22,4.15085726,,17.1417,90,12,0.001905551,,21.7333,90,12,0.000429565
19,0.4069,79,23,3.876690716,,17.8113,91,11,0.000803743,,15.7892,91,11,0.00015732
20,0.2141,85,17,3.793946111,,18.2563,90,12,0.000337996,,16.6059,91,11,5.74E-05
21,0.2361,35,67,3.549078422,,38.6906,92,10,0.000141789,,10.2755,92,10,2.09E-05
22,0.3185,90,12,3.447612721,,33.1469,89,13,5.94E-05,,10.0034,92,10,7.58E-06
23,0.5538,90,12,3.979515635,,34.7774,92,10,2.48E-05,,10.3111,88,14,2.74E-06
24,0.4237,74,28,4.715137295,,35.8234,89,13,1.04E-05,,11.6423,93,9,9.91E-07
25,0.247,83,19,5.166001572,,34.5576,89,13,4.32E-06,,11.4927,91,11,3.58E-07
26,0.2031,90,12,5.159229851,,34.0328,84,18,1.80E-06,,11.386,93,9,1.29E-07
27,0.254,92,10,5.008542311,,29.1872,92,10,7.48E-07,,15.7775,89,13,4.65E-08
28,0.27,92,10,4.368231316,,25.2097,91,11,3.11E-07,,19.1938,88,14,1.67E-08
