iter,time,reward,steps,convergence,policy
1,3.375,41,61,12.2121216,
2,0.4849,63,39,11.62876304,
3,0.9786,80,22,19.53876304,
4,1.2379,55,47,26.17552224,
5,0.2518,93,9,28.15585966,
6,0.4286,93,9,27.94235548,
7,0.2948,93,9,27.82066831,
8,0.4698,-97,199,30.38322831,
9,1.0219,91,11,31.21675312,
10,0.3077,92,10,30.57300912,
11,0.6919,75,27,28.41562953,
12,0.524,85,17,30.28253832,
13,0.272,91,11,21.44091452,
14,0.555,65,37,19.29415532,
15,0.9082,12,90,24.08081506,
16,0.5246,61,41,24.32470193,
17,0.3908,83,19,26.88349194,
18,0.2674,12,90,28.46957906,
19,0.2444,73,29,27.15288285,
20,0.5444,85,17,29.01215427,
21,0.334,59,43,33.16011614,
22,0.5321,93,9,31.75487481,
23,0.5423,85,17,38.91392674,
24,0.3502,51,51,36.57913372,
25,0.3465,-271,373,33.75293605,
26,0.2718,69,33,34.60303265,
27,0.3637,6,96,36.13586615,
28,0.5808,92,10,38.68428687,
29,0.2141,41,61,38.58654654,
30,0.3266,56,46,38.44550674,
31,0.4526,80,22,36.05370135,
32,0.6956,91,11,37.37012428,
33,0.3061,83,19,35.62971791,
34,0.4808,57,45,35.14268813,
35,0.2761,89,13,35.46631915,
36,0.1367,89,13,34.45530639,
37,0.3063,12,90,37.08679418,
38,0.1524,91,11,36.43820408,
39,0.2707,79,23,36.89751096,
40,0.4066,86,16,40.08825332,
41,0.1572,81,21,38.9752704,
42,0.1709,88,14,37.94539393,
43,0.338,91,11,35.54641604,
44,0.2101,71,31,35.95075103,
45,0.284,83,19,32.90086158,
46,0.3411,90,12,34.13699533,
47,0.2983,91,11,34.22154514,
48,0.3818,82,20,29.09655371,
49,0.2756,90,12,34.17720424,
50,0.1767,93,9,29.62797422,
51,0.5318,91,11,28.52596322,
52,0.5465,91,11,35.1261589,
53,0.3775,76,26,33.01580169,
54,0.3331,92,10,37.56689314,
55,0.4706,22,80,40.49602889,
56,0.5454,-39,141,38.90336318,
57,0.3301,85,17,33.29471539,
58,0.3585,92,10,34.11712092,
59,1.1867,54,48,29.92056761,
60,0.2793,89,13,34.39791674,
61,0.646,85,17,39.00852661,
62,0.1911,-23,125,31.69017285,
63,0.456,89,13,33.7883332,
64,0.2521,89,13,31.65056697,
65,0.1909,76,26,31.99689012,
66,0.3281,92,10,34.61454481,
67,0.261,91,11,32.78686905,
68,0.2066,92,10,30.91914539,
69,0.377,42,60,37.59403168,
70,0.4974,90,12,32.89510174,
71,0.3084,88,14,28.53523701,
72,0.3631,74,28,28.91510279,
73,0.2283,93,9,28.97619151,
74,0.3339,91,11,28.94958206,
75,0.2487,92,10,24.23413025,
76,0.2284,91,11,22.22301068,
77,0.5295,86,16,27.46336027,
78,0.2768,93,9,29.37413023,
79,0.5476,20,82,22.92310859,
80,0.2378,-5,107,24.50424864,
81,0.4739,62,40,29.35535248,
82,0.2532,89,13,30.52483888,
83,0.2645,80,22,27.52387111,
84,0.4089,52,50,23.20305133,
85,0.2963,74,28,27.36932511,
86,0.3835,88,14,26.55679898,
87,0.3861,91,11,28.87237524,
88,0.1833,93,9,26.99487733,
89,0.2443,91,11,32.69433785,
90,0.338,62,40,36.10877867,
91,0.3832,91,11,32.33204052,
92,0.2428,91,11,31.48896158,
93,0.5391,24,78,39.0605249,
94,0.2965,39,63,38.90140669,
95,0.385,82,20,35.66111219,
96,0.2433,92,10,42.97777213,
97,0.3084,65,37,40.9169563,
98,0.2865,61,41,40.6463144,
99,0.3416,92,10,33.20507553,
100,0.2075,93,9,30.05662721,
101,0.1989,89,13,31.02115673,
102,0.5154,47,55,35.30903097,
103,0.3033,61,41,32.54741521,
104,0.4005,92,10,33.76412467,
105,0.2089,64,38,34.03999845,
106,0.4122,93,9,28.61239495,
107,0.2379,93,9,23.68697413,
108,0.2855,93,9,23.92494857,
109,0.1517,87,15,26.63068268,
110,0.2372,81,21,26.4617367,
111,0.3608,29,73,26.91685548,
112,0.2519,85,17,21.85885092,
113,0.3783,90,12,19.9873354,
114,0.3742,82,20,25.56005198,
115,0.2985,0,102,29.24434657,
116,0.3857,-3,105,35.82227139,
117,0.4657,44,58,37.57306328,
118,0.3217,40,62,37.83253686,
119,0.3038,6,96,37.84685491,
120,0.2372,90,12,43.26937057,
121,0.2537,76,26,47.14256686,
122,0.1727,85,17,53.8029514,
123,0.4404,47,55,51.42215876,
124,0.5611,75,27,45.43308328,
125,0.2791,90,12,44.69027007,
126,0.4013,93,9,36.90476686,
127,0.2122,93,9,37.34717037,
128,0.4389,40,62,40.92169099,
129,0.1779,69,33,45.64379847,
130,0.4885,78,24,45.38560939,
131,0.2391,92,10,38.83474871,
132,0.3284,93,9,33.62782864,
133,0.1312,93,9,34.7153737,
134,0.2072,41,61,41.01183708,
135,0.1978,90,12,43.09599613,
136,0.2183,92,10,49.79480736,
137,0.1619,90,12,48.65354013,
138,0.6691,93,9,49.6535618,
139,0.3387,81,21,42.66208051,
140,0.2789,89,13,37.15324094,
141,0.3067,74,28,37.52463544,
142,0.2331,92,10,43.44014317,
143,0.468,91,11,44.73466572,
144,0.2389,88,14,37.62200249,
145,0.4075,47,55,31.31170347,
146,0.2288,90,12,29.1144672,
147,0.4708,93,9,27.59347345,
148,0.2727,92,10,22.37510299,
149,0.3954,61,41,27.16688137,
150,0.3275,27,75,26.25075088,
151,0.2453,93,9,30.70339109,
152,0.2102,90,12,29.94435529,
153,0.4686,81,21,34.18709669,
154,0.3539,90,12,38.50130317,
155,0.25,90,12,37.95324675,
156,0.1962,73,29,33.23453044,
157,0.3467,89,13,38.37425615,
158,0.4461,89,13,38.7682042,
159,0.3288,25,77,34.43348768,
160,0.3303,88,14,34.4203073,
161,0.3329,92,10,34.4232416,
162,0.1355,88,14,29.62466738,
163,0.3367,75,27,27.49978955,
164,0.288,81,21,27.40204517,
165,0.254,86,16,32.19914171,
166,0.2741,73,29,36.42378319,
167,0.1864,88,14,32.80090312,
168,0.1726,52,50,32.19604453,
169,0.2715,90,12,34.1181503,
170,0.2238,21,81,34.27739343,
171,0.2086,86,16,30.68279289,
172,0.3539,90,12,29.36190447,
173,0.231,72,30,24.21823904,
174,0.2704,39,63,24.52833854,
175,0.2016,13,89,27.27386723,
176,0.2694,40,62,25.28317931,
177,0.4565,90,12,24.27212768,
178,0.2707,86,16,25.20096586,
179,0.3547,89,13,25.20136425,
180,0.1904,21,81,29.32208044,
181,0.2172,90,12,27.94405369,
182,0.2102,-80,182,28.91793953,
183,0.3326,-54,156,31.84801534,
184,0.2429,35,67,26.89800051,
185,0.7523,33,69,26.90716026,
186,0.2571,92,10,24.77994213,
187,4.2382,52,50,26.98226601,
188,0.2807,55,47,28.62780286,
189,0.13,77,25,33.01975388,
190,0.3003,92,10,28.93914629,
191,0.2003,85,17,31.29469445,
192,0.2806,92,10,30.37263672,
193,0.2039,93,9,34.60656244,
194,0.1865,90,12,38.81017481,
195,0.1253,79,23,31.58881412,
196,0.0928,91,11,36.24893181,
197,0.6716,81,21,38.87818248,
198,0.2678,76,26,41.5102565,
199,0.1746,92,10,36.80873218,
200,0.2594,93,9,37.79986451,
201,0.4987,-180,282,35.80483272,
202,0.1477,45,57,35.92833812,
203,0.3545,34,68,33.65084776,
204,0.4957,-15,117,29.73876783,
205,0.327,-13,115,36.36742523,
206,0.3252,91,11,31.5905525,
207,0.2638,91,11,26.17588401,
208,0.1478,86,16,22.66226791,
209,0.194,91,11,27.749092,
210,0.3003,68,34,28.02501371,
211,0.207,91,11,27.89045686,
