iter,time,reward,steps,convergence,,,reward,steps,convergence,,,reward,steps,convergence,,,reward,steps,convergence
2,8.2329,-128,230,62.946972,,1.6715,91,11,57.2292,,2.9768,17,85,44.51968889,,4.4855,-986,1088,25.44675556
3,30.4603,92,10,38.47597553,,2.1291,89,13,28.84706275,,6.4714,90,12,13.4818448,,6.2263,92,10,3.143263069
4,12.778,93,9,30.18587756,,3.9926,86,16,20.55584425,,9.0163,89,13,7.450803489,,8.6788,90,12,0.768237929
5,6.6318,92,10,28.30158184,,7.7458,90,12,17.08275388,,10.0509,91,11,4.550238132,,13.0142,86,16,0.24688099
6,11.5021,87,15,19.7298751,,5.4391,93,9,10.7565429,,17.6096,91,11,1.832979953,,13.9061,88,14,0.048528801
7,11.8885,88,14,15.29478317,,9.6863,91,11,7.913234221,,16.2079,91,11,0.911976845,,21.444,93,9,0.007868786
8,10.2364,91,11,10.79629479,,6.7836,92,10,4.306927698,,205.5655,92,10,0.350443574,,20.9574,92,10,0.001512132
9,11.0504,89,13,6.016154417,,9.0105,92,10,2.036791318,,6.9196,87,15,0.116996041,,10.5077,92,10,0.000247458
10,11.1081,93,9,3.036149868,,9.8012,91,11,0.887223638,,7.5362,93,9,0.035813883,,9.5941,89,13,3.66E-05
11,10.4268,92,10,1.448241506,,11.6026,92,10,0.366649631,,7.4067,93,9,0.010354454,,9.8178,91,11,5.04E-06
12,15.167,92,10,0.666253327,,11.7734,87,15,0.146226391,,8.6415,91,11,0.002878499,,16.2242,93,9,6.63E-07
13,22.4117,92,10,0.299009795,,10.8313,93,9,0.056882126,,9.9245,91,11,0.000778273,,15.9106,86,16,8.40E-08
14,22.319,89,13,0.131846364,,20.5946,90,12,0.021732633,,11.4809,86,16,0.000206217,,16.3441,91,11,1.04E-08
15,25.567,93,9,0.057387924,,12.8578,90,12,0.008193462,,12.3498,85,17,5.38E-05,,12.1034,92,10,1.26E-09
16,16.1652,93,9,0.024736296,,13.1579,93,9,0.003058105,,13.0508,92,10,1.39E-05,,11.8077,89,13,1.50E-10
