iter,time,reward,steps,convergence,,time,reward,steps,convergence,,time,reward,steps,convergence
1,36.1442,-299,300,9.891,,163.6121,-299,300,79.72933619,,17.4702,-299,300,79.72933619
2,34.949,-299,300,9.882219674,,112.7919,-299,300,62.92379378,,37.9097,-299,300,66.48944538
3,23.3887,-299,300,9.531758674,,132.0815,-299,300,51.14087061,,35.004,-299,300,54.98488051
4,24.6468,-299,300,9.059159137,,99.7827,-299,300,42.43802388,,75.7706,-299,300,48.24643579
5,44.5229,-299,300,8.486353513,,139.1473,-299,300,26.83950177,,62.3904,-299,300,43.41011135
6,26.6413,-299,300,7.905292614,,133.433,-299,300,25.56238798,,70.0671,-299,300,26.26541596
7,18.6754,-299,300,7.594487118,,147.9672,-299,300,15.95455525,,79.3535,-299,300,26.02128725
8,18.799,-299,300,7.068421705,,175.935,-299,300,13.94538504,,82.3616,-299,300,27.92192516
9,9.7548,-299,300,6.482548005,,184.2769,-299,300,13.25389202,,97.1685,-299,300,23.22939587
10,12.7191,-299,300,6.08285614,,188.0793,-299,300,11.85156122,,94.7011,-299,300,23.80895954
11,19.6937,-299,300,5.69169306,,230.9403,-299,300,11.39817985,,110.5972,-299,300,27.04282109
12,10.3128,-299,300,5.128508195,,290.2422,-299,300,10.47156013,,110.6291,-299,300,21.76746792
13,12.8017,-299,300,4.807560809,,260.422,-299,300,10.15396184,,127.3654,-299,300,19.0293588
14,10.5803,-299,300,4.666593715,,391.1866,-299,300,9.76043283,,130.9915,-299,300,20.88391351
15,14.2286,-299,300,4.629790072,,302.1676,-299,300,9.322056646,,138.3364,-299,300,16.12235466
16,9.1063,-299,300,4.688411642,,362.0296,-299,300,8.407544287,,147.9081,-299,300,15.44955615
17,3.618,-299,300,4.449125885,,379.1185,-299,300,8.260771903,,152.4118,-299,300,12.02949125
18,13.4411,-299,300,4.531973906,,357.6656,-299,300,7.492157697,,161.0678,-299,300,10.55242494
19,14.2118,-299,300,4.692380645,,424.761,-299,300,7.287603082,,167.5475,-299,300,10.79864589
20,9.0665,-299,300,4.589231008,,394.2733,-299,300,6.68106435,,172.7283,-299,300,8.602766312
21,16.188,-299,300,4.514983166,,403.5461,-299,300,6.261910909,,187.4257,-299,300,12.45254144
22,6.0093,-299,300,4.511148826,,463.4291,-299,300,6.030298867,,196.86,-299,300,8.078779298
23,12.3485,-299,300,4.588419746,,500.7126,-299,300,5.792296775,,199.0597,-299,300,7.513798399
24,6.1818,-299,300,4.602917355,,557.4974,-299,300,5.707958287,,206.9516,-299,300,7.175309353
25,9.1884,-299,300,4.793748593,,549.5168,-299,300,5.593422355,,217.8845,-299,300,8.574138116
26,11.343,-299,300,4.610668152,,580.1212,-299,300,5.251616597,,322.8555,-299,300,6.709851278
27,13.2558,-299,300,4.58685045,,642.9032,-299,300,5.132743756,,232.2173,-299,300,6.451785288
28,6.7788,-299,300,4.569553215,,561.2184,-299,300,5.024390407,,238.9832,-299,300,6.359169866
29,6.8167,-299,300,4.479226854,,636.1701,-299,300,4.904648699,,241.4259,-299,300,6.029508482
30,7.4403,-299,300,4.319391836,,604.2806,-299,300,4.661756072,,248.4484,-299,300,5.771829927
31,10.6976,-299,300,4.242895285,,702.7291,-299,300,4.554005476,,254.173,-299,300,5.678801103
32,5.7345,-299,300,4.346730607,,792.0001,-299,300,4.439436343,,265.1157,-299,300,5.570145394
33,9.1524,-299,300,4.326249917,,714.0222,-299,300,4.324962992,,272.6986,-299,300,5.24880849
34,9.1563,-299,300,4.496881421,,832.0704,-299,300,4.175365933,,276.8482,-299,300,5.125300146
35,5.5735,-299,300,4.43185271,,801.493,-299,300,3.828455045,,297.6351,-299,300,5.016176854
36,10.9819,-299,300,4.382416274,,920.1216,-299,300,3.359947023,,297.6378,-299,300,4.909014553
37,4.0458,-299,300,4.489337634,,973.4665,-299,300,3.040048927,,306.4741,-299,300,4.653820435
38,9.6748,-299,300,4.469557619,,979.4778,-299,300,2.842507462,,307.4424,-299,300,4.223661293
39,3.9392,-299,300,4.481818979,,1306.493,-299,300,2.696661673,,322.5959,-299,300,3.695018339
40,4.5075,-299,300,4.461150878,,1054.9123,-299,300,2.641470118,,361.6554,-299,300,3.570822119
41,6.2127,-299,300,4.308686321,,1045.6459,-299,300,2.554724184,,341.6388,-299,300,3.4040188
42,7.9613,-299,300,4.273242633,,1122.0506,-3,105,2.490881135,,345.1338,-299,300,3.171012756
43,14.7898,-299,300,4.420817417,,1113.0435,0,102,2.394484235,,352.7425,-299,300,3.094021931
44,11.0123,-299,300,4.09249949,,1131.6895,3,99,2.306972377,,358.4418,-299,300,3.040908865
45,6.889,-299,300,3.990082814,,1153.1195,10,92,2.194844663,,372.3568,-299,300,2.920030108
46,3.4238,-299,300,4.292959759,,1236.4141,-1,103,2.114261452,,374.2524,-12,114,2.800544308
47,4.8892,-299,300,4.216620726,,1243.6522,3,99,2.059370978,,386.142,2,100,3.197152229
48,4.2701,-299,300,4.01370835,,1257.1117,-1,103,1.9616541,,417.2686,0,102,2.593956775
49,6.1736,-299,300,3.968025079,,1274.4375,1,101,1.89732413,,434.0671,-3,105,3.13778076
50,6.0472,-299,300,3.982640177,,1311.5829,9,93,1.848804796,,409.7481,4,98,3.24580891
51,3.7543,-299,300,4.234792967,,1326.1724,-3,105,1.749318286,,414.1035,2,100,3.455522041
52,9.1855,-299,300,4.200110891,,1368.4437,-7,109,1.722687042,,509.5107,8,94,2.869677198
53,3.9509,-299,300,4.072121327,,1374.3481,7,95,1.685316896,,427.317,0,102,3.634092657
54,8.2611,-299,300,4.252041566,,1472.435,16,86,1.637376965,,436.2889,-1,103,2.47698024
55,5.4126,-299,300,4.22616652,,1499.7852,0,102,1.598669911,,461.5581,-10,112,3.051667725
56,4.8812,-299,300,4.208662289,,1479.6389,8,94,1.574397038,,451.0591,0,102,2.094442024
57,3.23,-299,300,4.21829733,,1535.4284,3,99,1.541245366,,455.9297,-4,106,2.260388576
58,3.7447,-299,300,4.540662996,,1530.9687,5,97,1.499448251,,471.7697,5,97,2.121703953
59,5.1453,-299,300,4.538989694,,1538.8881,3,99,1.464401295,,492.9123,10,92,1.958546359
60,5.0317,-299,300,4.440665465,,1557.4754,17,85,1.443051048,,498.9496,-12,114,1.927008508
61,3.4338,-299,300,4.305425756,,1583.8837,14,88,1.362376843,,524.3661,0,102,1.885379117
62,3.6574,-299,300,4.149621333,,1621.7828,11,91,1.322382225,,520.4323,-6,108,1.833685825
63,8.7729,-299,300,3.953860174,,1623.7989,10,92,1.240748215,,489.7031,2,100,1.80369883
64,6.8496,-299,300,3.781269034,,1650.5535,0,102,1.171034579,,499.1224,9,93,1.695934255
65,6.4276,-299,300,3.627758248,,1697.4163,11,91,1.072946415,,582.1642,-3,105,1.609616292
66,4.6603,-299,300,3.447583106,,1725.5526,6,96,0.973263555,,513.7073,3,99,1.490824826
67,3.8625,-299,300,3.458883294,,1724.4638,6,96,0.907615227,,510.1973,9,93,1.372255819
68,3.0817,-299,300,3.225476091,,1834.1422,11,91,0.799467674,,600.3371,8,94,1.288584775
69,2.6582,-299,300,3.088744275,,1781.8558,-11,113,0.707180762,,905.0546,13,89,1.149200066
70,4.3747,-299,300,3.089269457,,1893.8494,9,93,0.646936326,,622.2577,15,87,1.034269176
71,9.6731,-299,300,3.005540813,,1887.5239,6,96,0.565563055,,582.8625,-8,110,0.960249656
72,5.1388,-299,300,3.044932389,,1983.1238,3,99,0.468202304,,555.1981,-4,106,0.842669986
73,7.2526,-299,300,3.17537193,,1933.8673,0,102,0.396623199,,529.6147,0,102,0.736639446
74,3.9906,-299,300,3.309594886,,1945.014,7,95,0.36332773,,575.097,-4,106,0.659125432
75,6.3108,-299,300,3.581553819,,1968.5299,-4,106,0.306086679,,601.3378,1,101,0.58978877
76,9.797,-299,300,3.718379298,,2017.0869,10,92,0.244501439,,588.6969,3,99,0.492051434
77,5.8804,-299,300,3.508397611,,2278.3628,13,89,0.190569834,,714.0134,16,86,0.416880615
78,2.5691,-299,300,3.370650446,,2044.9947,-10,112,0.146203808,,619.6119,5,97,0.3793047
79,4.5523,-299,300,3.434582002,,2073.0623,9,93,0.11078509,,947.219,6,96,0.320239159
80,3.4387,-299,300,3.551959097,,2108.8208,5,97,0.083046853,,823.6896,8,94,0.253314104
81,3.9426,-299,300,3.620009844,,2208.9951,7,95,0.063420171,,649.6795,-5,107,0.193570003
82,4.669,-299,300,3.596801948,,2170.2309,12,90,0.052951497,,646.4486,6,96,0.14421953
83,3.1601,-299,300,3.695433063,,2219.0213,15,87,0.044072667,,672.616,-3,105,0.105221421
84,2.8155,-299,300,3.713133498,,2206.1137,20,82,0.038399648,,798.4906,6,96,0.0760594
85,7.4314,-299,300,3.495947766,,2191.798,4,98,0.032598713,,678.1158,-8,110,0.061788539
86,7.794,-299,300,3.470806789,,2222.801,-9,111,0.024870731,,925.1218,4,98,0.050712514
87,8.0477,-299,300,3.466570825,,2288.018,0,102,0.018281697,,719.4899,-3,105,0.042713635
88,8.1181,-299,300,3.474837908,,2253.6142,8,94,0.013197572,,691.1947,14,88,0.036579481
89,4.8995,-299,300,3.530065919,,2337.3522,10,92,0.009419395,,703.4697,18,84,0.027120994
90,4.3157,-299,300,3.454538158,,2331.3171,-14,116,0.006664738,,942.3916,-1,103,0.019155936
91,1.9849,-299,300,3.549531963,,2354.3251,4,98,0.004680584,,767.6006,2,100,0.013231454
92,3.3158,-299,300,3.632366711,,2396.1897,-3,105,0.003264406,,745.2573,8,94,0.009024672
93,4.0206,-299,300,3.528487091,,2441.7702,-3,105,0.002261347,,890.0485,10,92,0.00610463
94,4.0466,-299,300,3.537559569,,2504.4914,12,90,0.001555839,,882.7824,-3,105,0.004104246
95,9.6543,-299,300,3.670291092,,2523.4336,-4,106,0.001062946,,742.1602,7,95,0.002745537
96,2.4237,-299,300,3.674191328,,2537.8426,-5,107,0.000720922,,813.1941,5,97,0.00182826
97,2.9356,-299,300,3.779708248,,2885.3081,12,90,0.000485247,,792.9708,10,92,0.001211944
98,2.4844,-299,300,3.783047036,,2556.9197,9,93,0.000324044,,787.8489,6,96,0.000799577
99,4.8017,-299,300,3.645302359,,2523.4083,7,95,0.000214632,,798.1499,10,92,0.000524806
100,4.46,-299,300,3.598648201,,2717.7325,4,98,0.000140975,,926.7946,5,97,0.000342525
101,8.6857,-299,300,3.579873471,,2627.6844,3,99,9.18E-05,,960.8993,9,93,0.000222193
102,2.2582,-299,300,3.520167768,,2671.0795,3,99,5.93E-05,,797.064,5,97,0.000143191
103,2.9299,-299,300,3.344418174,,2806.9196,4,98,3.79E-05,,998.718,-3,105,9.16E-05
104,4.2481,-157,259,3.53296381,,2767.5357,5,97,2.41E-05,,843.1872,5,97,5.82E-05
105,5.2159,-299,300,3.431237162,,2780.8428,5,97,1.51E-05,,1063.4846,3,99,3.67E-05
106,2.5052,-299,300,3.211940419,,2772.6637,-1,103,9.45E-06,,865.9616,-6,108,2.30E-05
107,4.4943,-299,300,3.22662502,,2869.6822,4,98,5.84E-06,,845.221,-7,109,1.43E-05
108,2.0999,-299,300,3.211457312,,2771.8258,-8,110,3.59E-06,,957.177,11,91,8.79E-06
109,8.1212,-94,196,3.327148355,,2828.1683,9,93,2.18E-06,,881.0031,2,100,5.38E-06
110,1.6658,-299,300,3.284795659,,2812.2657,9,93,1.32E-06,,892.01,3,99,3.26E-06
111,2.4073,-299,300,3.177410826,,2854.4836,0,102,7.91E-07,,974.6632,9,93,1.97E-06
112,2.9103,-299,300,3.188666584,,2911.9958,12,90,4.71E-07,,856.2102,14,88,1.18E-06
113,3.0113,-166,268,3.453631365,,2921.5306,-4,106,2.78E-07,,828.5096,-2,104,6.99E-07
114,2.0936,-187,289,3.161935917,,2977.6277,-13,115,1.63E-07,,845.3301,5,97,4.12E-07
115,2.9018,-299,300,3.085394769,,2993.37,12,90,9.53E-08,,854.0866,-8,110,2.42E-07
116,3.3678,-299,300,3.325968,,2979.2972,9,93,5.53E-08,,953.6199,6,96,1.41E-07
117,1.7986,-299,300,3.421009257,,2995.3442,2,100,3.18E-08,,1029.1137,7,95,8.14E-08
118,2.9189,-299,300,3.350287774,,3037.5081,4,98,1.82E-08,,1344.29,14,88,4.68E-08
119,2.3086,-299,300,3.275477358,,3084.2437,15,87,1.04E-08,,1393.4611,8,94,2.68E-08
120,9.194,-299,300,3.55795692,,3114.8125,-19,121,5.88E-09,,1065.5501,-2,104,1.52E-08
121,2.7429,-299,300,3.656575511,,3100.6036,-7,109,3.31E-09,,904.2592,4,98,8.61E-09
122,2.8352,-123,225,3.763701702,,3149.421,-6,108,1.86E-09,,942.678,13,89,4.85E-09
123,2.1018,-138,240,3.569331732,,3247.5831,6,96,1.03E-09,,954.7901,4,98,2.71E-09
124,3.6087,-299,300,3.520256014,,3167.9218,3,99,5.74E-10,,1045.4586,-7,109,1.51E-09
125,4.0497,-299,300,3.834254587,,3226.4457,4,98,3.17E-10,,1223.9732,3,99,8.38E-10
126,5.1617,-140,242,3.541021751,,3245.6198,10,92,1.75E-10,,1027.6397,4,98,4.62E-10
127,5.7767,-299,300,3.539928541,,3273.2616,7,95,9.56E-11,,979.8418,2,100,2.54E-10
128,2.9877,-299,300,3.668548869,,3286.3048,6,96,5.21E-11,,975.3231,13,89,1.39E-10
129,2.8163,-299,300,3.834392615,,3362.3711,5,97,2.83E-11,,987.5986,12,90,7.58E-11
130,4.5768,-299,300,3.578604144,,3336.7911,12,90,1.53E-11,,984.1307,4,98,4.12E-11
131,7.2133,-299,300,3.474754479,,3405.3823,8,94,8.26E-12,,992.1973,13,89,2.22E-11
132,4.5394,-299,300,3.299071064,,3417.2816,5,97,4.43E-12,,998.5659,11,91,1.20E-11
133,4.1434,-299,300,3.55994599,,3437.9653,11,91,2.37E-12,,1243.1984,12,90,6.43E-12
134,3.2972,-299,300,3.776436037,,3483.109,-8,110,1.27E-12,,1190.4314,6,96,3.44E-12
135,2.3684,-299,300,3.711580541,,3529.3295,12,90,6.75E-13,,996.8463,4,98,1.84E-12
136,2.1347,-186,288,3.798785373,,3529.9759,1,101,3.55E-13,,992.7521,-2,104,9.66E-13
137,2.0107,-299,300,3.758569028,,3520.9194,9,93,1.92E-13,,1006.8971,9,93,5.26E-13
138,3.9212,-22,124,3.828392788,,3688.1147,13,89,8.53E-14,,1013.9334,7,95,2.77E-13
139,1.765,-128,230,3.618623864,,3798.5544,-10,112,5.68E-14,,1026.6554,-1,103,1.35E-13
140,2.7464,-42,144,3.638680064,,3709.0154,-22,124,2.13E-14,,1031.7512,5,97,6.39E-14
141,2.4333,-299,300,3.62029679,,3674.7758,-5,107,1.42E-14,,1060.9367,3,99,3.55E-14
142,3.6448,-81,183,3.706054181,,3893.4519,3,99,7.11E-15,,1113.3637,-12,114,2.13E-14
143,5.4741,-299,300,3.551230541,,2828.813,10,92,0,,1208.3443,14,88,7.11E-15
144,1.8083,-47,149,3.527821562,,2029.7664,-1,103,0,,1097.0532,5,97,7.11E-15
145,1.9883,-299,300,3.406539033,,1652.3399,1,101,0,,1090.3044,13,89,0
146,2.367,-20,122,3.278506756,,1540.1647,-17,119,0,,1082.2497,10,92,0
147,2.1319,-42,144,3.210815233,,1567.738,3,99,0,,1098.7963,0,102,0
148,2.2982,-299,300,3.082113145,,1617.7876,2,100,0,,1098.1631,-14,116,0
149,3.9903,-37,139,3.213046049,,1735.1259,-5,107,0,,1191.9758,-8,110,0
150,2.4663,-139,241,3.242900055,,1620.5801,8,94,0,,1205.0207,5,97,0
151,3.5472,-64,166,3.278723928,,1774.82,8,94,0,,1107.6528,0,102,0
152,2.9907,-299,300,3.254377935,,1855.287,-10,112,0,,1105.104,1,101,0
153,4.3003,-299,300,3.176767625,,1681.8263,2,100,0,,1114.0798,11,91,0
154,2.3166,-299,300,2.966066135,,1682.0502,4,98,0,,1172.7694,15,87,0
155,3.9325,-299,300,2.837401044,,1726.3936,-14,116,0,,1147.5576,9,93,0
156,1.9753,-299,300,3.186349569,,1746.1847,-6,108,0,,1140.4991,6,96,0
157,7.0915,-299,300,3.182062069,,1671.0557,7,95,0,,1141.3553,2,100,0
158,4.0159,-299,300,3.430528481,,1723.5604,-6,108,0,,1156.8907,-12,114,0
159,3.2066,-299,300,3.270752982,,1740.1543,6,96,0,,1187.4308,-5,107,0
160,3.371,-299,300,3.34624488,,1725.0513,-1,103,0,,1167.1426,-4,106,0
161,3.9347,-299,300,3.42060897,,1821.6424,9,93,0,,1184.0797,-7,109,0
162,5.0656,-299,300,3.420478063,,1761.3642,-12,114,0,,1185.9888,6,96,0
163,1.8955,-299,300,3.531812647,,1786.7439,11,91,0,,1219.589,-5,107,0
164,4.1296,-299,300,3.520618113,,1829.753,-12,114,0,,1190.5383,13,89,0
165,6.0702,-299,300,3.42941666,,1850.6714,8,94,0,,1202.8225,1,101,0
166,3.4969,-299,300,3.164386101,,2024.8466,-2,104,0,,1214.1719,-14,116,0
167,3.5728,-299,300,3.276354204,,2014.963,-5,107,0,,1374.8687,8,94,0
168,2.384,-299,300,3.096992431,,1919.1739,14,88,0,,1229.3205,11,91,0
169,3.5488,-299,300,3.156212919,,1882.7575,5,97,0,,1240.0861,0,102,0
170,2.5579,-28,130,3.098267717,,1885.6521,2,100,0,,1244.8086,-4,106,0
171,2.183,-185,287,2.957284601,,1950.3048,-12,114,0,,1260.0614,-2,104,0
172,3.2032,-72,174,2.931374655,,1905.9161,2,100,0,,1268.4482,6,96,0
173,8.2842,-299,300,2.881617419,,1884.0597,6,96,0,,1267.6159,6,96,0
174,2.3222,-299,300,2.936249467,,1908.8057,0,102,0,,1357.7274,-1,103,0
175,2.7198,-39,141,3.196191664,,1942.2111,-1,103,0,,1273.5162,3,99,0
176,4.749,-109,211,3.220914027,,1997.3193,2,100,0,,1283.6171,-9,111,0
177,1.8382,-299,300,3.014157296,,1999.3387,2,100,0,,1291.6326,8,94,0
178,1.9726,-299,300,3.120345567,,1986.5728,1,101,0,,1298.5334,12,90,0
179,4.7031,-154,256,3.053535386,,1942.7014,21,81,0,,1304.1297,-2,104,0
180,2.5017,-165,267,3.088288667,,1958.8049,-5,107,0,,1310.5689,-20,122,0
181,1.8232,-299,300,3.161051542,,1909.2582,-6,108,0,,1316.1763,10,92,0
182,2.3493,-40,142,3.105854061,,2022.9682,4,98,0,,1318.0577,-4,106,0
183,2.9507,-299,300,3.300920065,,1945.9026,-25,127,0,,1325.2367,7,95,0
184,3.2775,-79,181,3.331774196,,1957.9106,2,100,0,,1344.1319,-13,115,0
185,2.5663,-299,300,3.143901093,,2060.6336,13,89,0,,1346.2333,5,97,0
186,2.5836,-299,300,3.27206395,,2061.0891,8,94,0,,1369.4742,0,102,0
187,5.2761,-299,300,3.529284022,,2228.9096,-4,106,0,,1359.3195,15,87,0
188,1.7413,-50,152,3.493305931,,2096.4319,11,91,0,,1359.995,6,96,0
189,2.1132,-299,300,3.58322927,,2098.9503,0,102,0,,1379.4709,4,98,0
190,3.0398,-171,273,3.598059675,,2078.5668,-11,113,0,,1385.2576,10,92,0
191,2.6039,-51,153,3.653488315,,2148.256,8,94,0,,1393.8762,-2,104,0
192,2.2701,-46,148,3.731821601,,2155.8339,1,101,0,,1419.3897,1,101,0
